article_name,page_id,pagerank_score,wikipedia link,birth,death,image_url,description,occupation,field,latitude,longitude
Mary J. Blige,214210,4.289212986279544e-06,https://en.wikipedia.org/wiki/Mary_J._Blige,1971,,https://commons.wikimedia.org/wiki/Special:FilePath/Mary J. Blige April 2020.png,American singer (born 1971),"['singer-songwriter', 'actor', 'singer', 'television actor', 'model', 'record producer', 'film actor', 'manufacturer', 'recording artist']",['music composing'],40.7,-74
Kurt Gödel,16736,4.287709371304557e-06,https://en.wikipedia.org/wiki/Kurt_Gödel,1906,1978,https://commons.wikimedia.org/wiki/Special:FilePath/1925 kurt gödel.png,"Austrian-American logician, mathematician, and philosopher of mathematics (1906-1978)","['mathematician', 'philosopher', 'university teacher', 'computer scientist', 'physicist', 'scientist']","['set theory', 'mathematical logic', 'analytic philosophy', 'mathematics', 'physics', 'theory of relativity', 'logic', 'predicate logic', 'philosophy', 'philosophy of mathematics']",40.355,-74.66
Howard Hughes,14059,4.287628397212415e-06,https://en.wikipedia.org/wiki/Howard_Hughes,1905,1976,https://commons.wikimedia.org/wiki/Special:FilePath/Howard Hughes 1938 (cropped).jpg,"American aviator, engineer, industrialist, and film producer (1905–1976)","['film producer', 'film director', 'aircraft pilot', 'flight engineer', 'entrepreneur', 'inventor', 'producer']",['entrepreneur'],29.76277778,-95.38305556
Pope Gregory XIII,24244,4.287463563828682e-06,https://en.wikipedia.org/wiki/Pope_Gregory_XIII,1501,1585,https://commons.wikimedia.org/wiki/Special:FilePath/Lavinia Fontana - Portrait of Pope Gregory XIII.jpg,Pope from 1572 to 1585,"['Catholic priest', 'Catholic deacon']",[],41.90222222222222,12.453416666666667
John Henry Newman,83895,4.282856875197644e-06,https://en.wikipedia.org/wiki/John_Henry_Newman,1801,1890,"https://commons.wikimedia.org/wiki/Special:FilePath/John Henry Newman by Sir John Everett Millais, 1st Bt.jpg","English cleric, cardinal and saint (1801-1890)","['theologian', 'poet', 'Anglican priest', 'Catholic priest', 'novelist', 'university teacher', 'hymnwriter', 'philosopher', 'writer']",[],52.47,-2.29
Joseph-Louis Lagrange,87793,4.282468998378917e-06,https://en.wikipedia.org/wiki/Joseph-Louis_Lagrange,1736,1813,https://commons.wikimedia.org/wiki/Special:FilePath/Лагранж.jpg,Mathematician and astronomer (1736–1813),"['mathematician', 'astronomer', 'physicist', 'politician', 'writer', 'university teacher']","['mathematical analysis', 'number theory', 'Analytical mechanics', 'celestial mechanics', 'calculus', 'mathematics', 'astronomy']",48.846198,2.3461054
Akihito,23292229,4.277716470039383e-06,https://en.wikipedia.org/wiki/Akihito,1933,,https://commons.wikimedia.org/wiki/Special:FilePath/Emperor Akihito (2016).jpg,Emperor of Japan from 1989 to 2019,"['monarch', 'ichthyologist', 'zoologist', 'marine biologist']",[],35.6825,139.7521
Johann Gottlieb Fichte,12007,4.277181211175879e-06,https://en.wikipedia.org/wiki/Johann_Gottlieb_Fichte,1762,1814,https://commons.wikimedia.org/wiki/Special:FilePath/Johann Gottlieb Fichte by Friedrich Bury.jpg,German philosopher (1762–1814),"['philosopher', 'university teacher', 'writer']",['philosophy'],52.52841111,13.38370278
Theodosius II,61645,4.276332436291397e-06,https://en.wikipedia.org/wiki/Theodosius_II,401,450,https://commons.wikimedia.org/wiki/Special:FilePath/Theodosius II Louvre Ma1036.jpg,Byzantine Emperor (401–450),['politician'],[],41.0125,28.98
Yitzhak Rabin,43983,4.272899754428489e-06,https://en.wikipedia.org/wiki/Yitzhak_Rabin,1922,1995,"https://commons.wikimedia.org/wiki/Special:FilePath/Flickr - Israel Defense Forces - Life of Lt. Gen. Yitzhak Rabin, 7th IDF Chief of Staff in photos (11).jpg","Israeli politician, statesman and general (1922–1995)","['diplomat', 'military officer', 'politician']",[],31.774117,35.180567
Tintoretto,338821,4.2728096931163945e-06,https://en.wikipedia.org/wiki/Tintoretto,1518,1594,"https://commons.wikimedia.org/wiki/Special:FilePath/Tintoretto - Self-Portrait as a Young Man, ca. 1548, CAI.103 (cropped).jpg",Renaissance painter (1518/1519–1594),"['painter', 'architectural draftsperson', 'visual artist']",['art of painting'],45.44633611,12.33247222
Clarence Thomas,28291766,4.2725851843378366e-06,https://en.wikipedia.org/wiki/Clarence_Thomas,1948,,https://commons.wikimedia.org/wiki/Special:FilePath/Clarence Thomas official SCOTUS portrait.jpg,Associate Justice of the Supreme Court of the United States since 1991,"['judge', 'lawyer', 'politician']",[],31.95305556,-81.0925
Pope Gregory IX,24218,4.269227632696255e-06,https://en.wikipedia.org/wiki/Pope_Gregory_IX,1160,1241,https://commons.wikimedia.org/wiki/Special:FilePath/Papa Gregorio IX.png,pope of the Catholic Church from 1227 to 1241,"['Catholic priest', 'writer']",[],41.90222222222222,12.453416666666667
Mahmud of Ghazni,651860,4.265710760473454e-06,https://en.wikipedia.org/wiki/Mahmud_of_Ghazni,971,1030,,Sultan of the Ghaznavid Empire from 998 to 1030,['king'],[],33.54916667,68.42333333
"Norman Foster, Baron Foster of Thames Bank",21641,4.264557057571142e-06,"https://en.wikipedia.org/wiki/Norman_Foster,_Baron_Foster_of_Thames_Bank",1935,,"https://commons.wikimedia.org/wiki/Special:FilePath/Un edificio sostenible de acero y cristal, nuevo proyecto de Foster para Madrid 04 (cropped).jpg",British architect (born 1935),"['architect', 'politician', 'designer']",['architecture'],53.40833333,-2.149444444
James IV of Scotland,50556,4.263635717340329e-06,https://en.wikipedia.org/wiki/James_IV_of_Scotland,1473,1513,https://commons.wikimedia.org/wiki/Special:FilePath/James IV of Scotland.jpg,King of Scotland from 1488 to 1513,"['politician', 'monarch', 'aristocrat']",[],55.16666667,-2
Gaius Marius,81672,4.262034948459217e-06,https://en.wikipedia.org/wiki/Gaius_Marius,-158,-86,https://commons.wikimedia.org/wiki/Special:FilePath/Bust of Marius (GL 319) - Glyptothek - Munich - Germany 2017.jpg,"Roman general, statesman and military reformer (157-86 BC)","['Ancient Roman priest', 'Ancient Roman politician', 'ancient Roman military personnel', 'politician', 'military leader']",[],41.89305556,12.48277778
Chris Christie,5847204,4.261664331313671e-06,https://en.wikipedia.org/wiki/Chris_Christie,1962,,https://commons.wikimedia.org/wiki/Special:FilePath/ChrisChristie2.jpg,"55th Governor of New Jersey, former U.S. Attorney for the District of New Jersey","['lawyer', 'politician']",['politics'],40.73555555555556,-74.17222222
Aleksandr Solzhenitsyn,1625,4.261404499851979e-06,https://en.wikipedia.org/wiki/Aleksandr_Solzhenitsyn,1918,2008,https://commons.wikimedia.org/wiki/Special:FilePath/Aleksandr Solzhenitsyn 1974crop.jpg,"Russian writer, publicist, poet and politician (1918–2008)","['writer', 'historian', 'novelist', 'screenwriter', 'playwright', 'poet', 'public figure', 'prose writer', 'opinion journalist', 'school teacher', 'military personnel', 'militant', 'writer', 'full member of RAS']",['Gulag'],55.71214444,37.602275
Joseph Schumpeter,15827,4.261217275815644e-06,https://en.wikipedia.org/wiki/Joseph_Schumpeter,1883,1950,https://commons.wikimedia.org/wiki/Special:FilePath/Joseph Schumpeter ekonomialaria.jpg,Austrian economist,"['economist', 'professor', 'book collector', 'anthropologist', 'jurist', 'political scientist', 'economist', 'politician', 'political scientist', 'university teacher']",['economics'],41.9870605,-73.4232864
Tipu Sultan,31058,4.258596103479603e-06,https://en.wikipedia.org/wiki/Tipu_Sultan,1750,1799,https://commons.wikimedia.org/wiki/Special:FilePath/TipuSultan1790.jpg,Ruler of the Kingdom of Mysore from 1782 to 1799,"['politician', 'writer', 'ruler', 'freedom fighter']",[],12.41805556,76.69472222
George B. McClellan,104977,4.25573682783542e-06,https://en.wikipedia.org/wiki/George_B._McClellan,1826,1885,https://commons.wikimedia.org/wiki/Special:FilePath/George B McClellan - retouched.jpg,American soldier and politician (1826–1885),"['military officer', 'designer', 'writer', 'army officer']",[],40.19492,-74.75344
Thomas Pynchon,30903,4.255125509519399e-06,https://en.wikipedia.org/wiki/Thomas_Pynchon,1937,,"https://commons.wikimedia.org/wiki/Special:FilePath/Thomas Pynchon, Navy Sailor.jpg",American novelist (born 1937),"['writer', 'novelist', 'essayist', 'science fiction writer']",[],40.86722222,-73.62777778
Odoacer,37045,4.252333379671668e-06,https://en.wikipedia.org/wiki/Odoacer,433,493,https://commons.wikimedia.org/wiki/Special:FilePath/Coin of Odoacer at the British Museum (obverse).png,5th-century Germanic soldier and monarch,['military leader'],[],44.416111111111114,12.201666666666666
Roland Barthes,174415,4.25045386442348e-06,https://en.wikipedia.org/wiki/Roland_Barthes,1915,1980,https://commons.wikimedia.org/wiki/Special:FilePath/Roland Barthes 1969.jpg,French philosopher and essayist,"['philosopher', 'literary critic', 'university teacher', 'semiologist', 'sociologist', 'mythographer', 'literary theorist', 'essayist', 'writer', 'ontologist']","['literary criticism', 'literary theory', 'semiotics', 'literary activity']",43.49416667,-1.290555556
John Singer Sargent,105373,4.2499455524317325e-06,https://en.wikipedia.org/wiki/John_Singer_Sargent,1856,1925,https://commons.wikimedia.org/wiki/Special:FilePath/John Singer Sargent 1903.jpg,American painter (1856–1925),"['painter', 'architectural draftsperson', 'architect']",['art of painting'],51.29666666666667,-0.633333333
Alec Douglas-Home,175847,4.248555239822815e-06,https://en.wikipedia.org/wiki/Alec_Douglas-Home,1903,1995,https://commons.wikimedia.org/wiki/Special:FilePath/Alec Douglas-Home (c1963).jpg,Prime Minister of the United Kingdom from 1963 to 1964,"['politician', 'cricketer', 'diplomat']",[],55.6599222,-2.272653924
John VI of Portugal,153578,4.243993495242983e-06,https://en.wikipedia.org/wiki/John_VI_of_Portugal,1767,1826,https://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste Debret - Retrato de Dom João VI (MNBA) - cores compensadas.jpg,"King of the United Kingdom of Portugal, Brazil and the Algarves from 1816 to 1825",['king'],[],38.71472222,-9.127777778
Francis Xavier,10957,4.241071845420518e-06,https://en.wikipedia.org/wiki/Francis_Xavier,1506,1552,https://commons.wikimedia.org/wiki/Special:FilePath/Franciscus de Xabier.jpg,Spanish Catholic saint and missionary (1506–1552),"['missionary', 'writer', 'explorer', 'Latin Catholic priest']",[],15.50086809,73.91159057
Marc Chagall,63135,4.240479867450694e-06,https://en.wikipedia.org/wiki/Marc_Chagall,1887,1985,https://commons.wikimedia.org/wiki/Special:FilePath/Marc Chagall 1941 cut.jpg,Russian-French artist (1887–1985),"['painter', 'printmaker', 'poet', 'lithographer', 'designer', 'graphic artist', 'illustrator', 'scenographer', 'sculptor', 'architectural draftsperson', 'ceramicist', 'drawer']",[],43.694078,7.123243
Tony Abbott,556739,4.239475710775522e-06,https://en.wikipedia.org/wiki/Tony_Abbott,1957,,https://commons.wikimedia.org/wiki/Special:FilePath/Tony Abbott - 2010.jpg,prime minister of Australia from 2013 to 2015,['politician'],[],51.5016,-0.11666
August Strindberg,49645,4.238053496880637e-06,https://en.wikipedia.org/wiki/August_Strindberg,1849,1912,https://commons.wikimedia.org/wiki/Special:FilePath/August Strindberg.jpg,Swedish writer and painter (1849–1912),"['playwright', 'poet', 'photographer', 'painter', 'novelist', 'autobiographer', 'screenwriter', 'writer', 'essayist', 'prose writer']","['literature', 'creative and professional writing', 'prose', 'drama']",59.35666667,18.01916667
José Mourinho,739547,4.237177191364572e-06,https://en.wikipedia.org/wiki/José_Mourinho,1963,,"https://commons.wikimedia.org/wiki/Special:FilePath/FC Salzburg gegen AS Roma (UEFA Euroleague play-off, 2023-02-16) 42.jpg",Portuguese association football manager and former player,"['association football manager', 'association football player', 'diplomat']",[],38.52430555555556,-8.892611111
Heinrich Heine,104641,4.235563191133589e-06,https://en.wikipedia.org/wiki/Heinrich_Heine,1797,1856,https://commons.wikimedia.org/wiki/Special:FilePath/Heinrich Heine.PNG,"German poet, writer and literary critic (1797–1856)","['poet', 'writer', 'journalist', 'literary critic', 'poet lawyer', 'publicist', 'essayist']",[],48.88777778,2.330277778
George Michael,45985,4.234795860615961e-06,https://en.wikipedia.org/wiki/George_Michael,1963,2016,https://commons.wikimedia.org/wiki/Special:FilePath/George Michael.jpeg,British singer (1963–2016),"['singer-songwriter', 'multi-instrumentalist', 'record producer', 'singer', 'songwriter', 'lyricist', 'composer', 'recording artist']",[],51.567,-0.147
Johann Strauss II,133392,4.233104099462867e-06,https://en.wikipedia.org/wiki/Johann_Strauss_II,1825,1899,https://commons.wikimedia.org/wiki/Special:FilePath/Johann Strauss II (3).jpg,Austrian composer (1825-1899),"['conductor', 'composer']","['music composing', 'opera', 'classical music', 'operetta', 'popular music', 'instrumental music']",48.15072,16.43808
"Francis I, Holy Roman Emperor",148457,4.228344946041749e-06,"https://en.wikipedia.org/wiki/Francis_I,_Holy_Roman_Emperor",1708,1793,https://commons.wikimedia.org/wiki/Special:FilePath/Martin van Meytens 006.jpg,Holy Roman Emperor and Grand Duke of Tuscany,"['aristocrat', 'coin collecting', 'politician']","['state administration', 'politics']",48.20555556,16.36972222
Juan Perón,23486968,4.228104280614084e-06,https://en.wikipedia.org/wiki/Juan_Perón,1895,1974,https://commons.wikimedia.org/wiki/Special:FilePath/Juan Domingo Perón.jpg,"President of Argentina (1946–55, 1973–74)","['military officer', 'politician']",[],-34.514944,-58.482889
Brian Wilson,81425,4.227414561754591e-06,https://en.wikipedia.org/wiki/Brian_Wilson,1942,,https://commons.wikimedia.org/wiki/Special:FilePath/Brian Wilson (7314673472) (tall).jpg,"American musician, singer, songwriter and record producer","['singer', 'singer-songwriter', 'composer', 'songwriter', 'record producer', 'musician', 'bass guitarist', 'pianist', 'actor', 'music arranger']",[],33.9575,-118.3461111
Chandragupta Maurya,187726,4.226612837815236e-06,https://en.wikipedia.org/wiki/Chandragupta_Maurya,-340,-297,https://commons.wikimedia.org/wiki/Special:FilePath/Chandragupt maurya Birla mandir 6 dec 2009 (31) (cropped).JPG,founder of the Maurya Empire (350–295 BCE),['sovereign'],[],12.857083333333334,76.48716666666667
Phil Spector,20110751,4.225670189926223e-06,https://en.wikipedia.org/wiki/Phil_Spector,1939,2021,https://commons.wikimedia.org/wiki/Special:FilePath/Phil Spector 2000.jpg,American record producer (1939–2021),"['record producer', 'composer', 'songwriter']",['music'],37.97555556,-121.3008333
Albertus Magnus,1573,4.225655744695399e-06,https://en.wikipedia.org/wiki/Albertus_Magnus,1193,1292,https://commons.wikimedia.org/wiki/Special:FilePath/AlbertusMagnus.jpg,German Dominican friar and saint (c.1200–1280),"['chemist', 'musicologist', 'philosopher', 'writer', 'economist', 'astrologer', 'entomologist', 'theologian', 'geographer', 'botanist', 'Catholic bishop', 'teacher']",['philosophy'],50.941869,6.954911
Charlie Parker,54408,4.216466944610499e-06,https://en.wikipedia.org/wiki/Charlie_Parker,1920,1955,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait of Charlie Parker in 1947.jpg,American jazz musician (1920–1955),"['saxophonist', 'jazz musician', 'musician', 'composer']",['jazz'],40.7,-74
Louis XVI,156069,4.212518970372687e-06,https://en.wikipedia.org/wiki/Louis_XVI,1754,1793,"https://commons.wikimedia.org/wiki/Special:FilePath/Antoine-François Callet - Louis XVI, roi de France et de Navarre (1754-1793), revêtu du grand costume royal en 1779 - Google Art Project.jpg",King of France and Navarre (1754-1793),"['politician', 'ruler', 'art collector', 'monarch']",[],48.93555556,2.359722222
Jean Sibelius,49644,4.212429482697521e-06,https://en.wikipedia.org/wiki/Jean_Sibelius,1865,1957,https://commons.wikimedia.org/wiki/Special:FilePath/Jean Sibelius in 1890 (cropped).jpg,Finnish composer (1865–1957),"['composer', 'conductor', 'musicologist', 'university teacher', 'violinist']",['music'],60.454514,25.08639
Richard Branson,93759,4.211265274050757e-06,https://en.wikipedia.org/wiki/Richard_Branson,1950,,https://commons.wikimedia.org/wiki/Special:FilePath/Richard Branson March 2015 (cropped).jpg,British business magnate (born 1950),"['entrepreneur', 'aircraft pilot', 'writer', 'autobiographer', 'businessperson', 'balloonist', 'investor', 'television producer', 'film producer', 'high school teacher']","['business', 'management']",51.47,0.009
Brad Pitt,44849,4.201884942320036e-06,https://en.wikipedia.org/wiki/Brad_Pitt,1963,,https://commons.wikimedia.org/wiki/Special:FilePath/Brad Pitt 2019 by Glenn Francis.jpg,American actor and filmmaker,"['television actor', 'film actor', 'film producer', 'film director', 'voice actor', 'model', 'executive producer', 'television producer']",[],35.3425,-96.93388889
Ghil'ad Zuckermann,30713780,4.199451695968415e-06,https://en.wikipedia.org/wiki/Ghil'ad_Zuckermann,1971,,https://commons.wikimedia.org/wiki/Special:FilePath/Zuckermann.jpg,"Linguist, language revivalist, professor, author, hyperpolyglot","['lexicographer', 'linguist', 'university teacher', 'language revitalization', 'hyperpolyglot', 'expert witness']","['linguistics', 'language contact', 'lexicology', 'language revitalization']",32.06972222,34.81166667
Valéry Giscard d'Estaing,79474,4.198941401595415e-06,https://en.wikipedia.org/wiki/Valéry_Giscard_d'Estaing,1926,2020,https://commons.wikimedia.org/wiki/Special:FilePath/Valéry Giscard d'Estaing (1975).jpg,French official and politician (1926–2020),"['statesperson', 'official', 'politician', 'author']","['politics', 'literary activity']",47.64388889,0.896944444
Charles Lyell,7472,4.196771511208033e-06,https://en.wikipedia.org/wiki/Charles_Lyell,1797,1875,https://commons.wikimedia.org/wiki/Special:FilePath/PSM V01 D242 and V20 D610 Charles Lyell.jpg,British geologist (1797–1875),"['geologist', 'lawyer', 'university teacher', 'paleontologist', 'writer']","['geology', 'archaeology']",51.4994,-0.127367
Pierre Boulez,66592,4.195662377508206e-06,https://en.wikipedia.org/wiki/Pierre_Boulez,1925,2016,https://commons.wikimedia.org/wiki/Special:FilePath/Pierre Boulez (1968).jpg,"French composer, conductor and writer (1925–2016)","['conductor', 'composer', 'musicologist', 'music theorist', 'ondist', 'university teacher', 'pianist', 'musician', 'writer']",['music'],48.76194444,8.240833333
Benito Juárez,103360,4.188083802477983e-06,https://en.wikipedia.org/wiki/Benito_Juárez,1806,1872,https://commons.wikimedia.org/wiki/Special:FilePath/Benito Juarez (cropped).jpg,President of Mexico from 1858 to 1872,"['lawyer', 'judge', 'politician']",[],19.439,-99.1479
Ammianus Marcellinus,1767,4.185422550394472e-06,https://en.wikipedia.org/wiki/Ammianus_Marcellinus,320,400,"https://commons.wikimedia.org/wiki/Special:FilePath/Ammiani Marcellini Rerum gestarum qui de XXXI supersunt, libri XVIII (1693) (14596243719).jpg",4th-century Roman historian and soldier,"['historian', 'writer', 'military personnel', 'poet']",['historiography'],41.89305556,12.48277778
Charles Lucien Bonaparte,357365,4.184610634575053e-06,https://en.wikipedia.org/wiki/Charles_Lucien_Bonaparte,1803,1857,https://commons.wikimedia.org/wiki/Special:FilePath/Bonaparte Charles Lucien 1803-1857.png,"French noble, biologist, politician and art collector (1803–1857)","['biologist', 'ornithologist', 'zoologist', 'ichthyologist']",['ornithology'],41.92555556,8.736388889
Ferdinand von Mueller,890393,4.18451013959912e-06,https://en.wikipedia.org/wiki/Ferdinand_von_Mueller,1825,1896,https://commons.wikimedia.org/wiki/Special:FilePath/Von mueller.jpg,German-Australian botanist (1825-1896),"['explorer', 'pteridologist', 'bryologist', 'botanist', 'mycologist', 'pharmacist', 'writer', 'chemist', 'physician', 'geographer']",['botany'],-37.8611,145.002
Nicolas Poussin,62131,4.180093995411952e-06,https://en.wikipedia.org/wiki/Nicolas_Poussin,1594,1665,https://commons.wikimedia.org/wiki/Special:FilePath/Nicolas Poussin.jpg,French painter (1594-1665),"['painter', 'graphic artist', 'architectural draftsperson', 'visual artist']",['art of painting'],41.90341667,12.47869444
Joni Mitchell,16422,4.178459722031243e-06,https://en.wikipedia.org/wiki/Joni_Mitchell,1943,,https://commons.wikimedia.org/wiki/Special:FilePath/Joni Mitchell 2021 Kennedy Center Honors (cropped).jpg,Canadian musician,"['singer', 'songwriter', 'painter', 'musician', 'guitarist', 'record producer', 'photographer', 'poet', 'recording artist', 'film director', 'film editor']",['music composing'],49.72558333,-113.3975278
Thabo Mbeki,31350,4.177427507685952e-06,https://en.wikipedia.org/wiki/Thabo_Mbeki,1942,,https://commons.wikimedia.org/wiki/Special:FilePath/SthAfrica.ThaboMbeki.01.jpg,"South African politician, former President of South Africa","['politician', 'economist']",[],-31.668,27.717
Matthew C. Perry,204728,4.174147561906305e-06,https://en.wikipedia.org/wiki/Matthew_C._Perry,1794,1858,https://commons.wikimedia.org/wiki/Special:FilePath/Commodore Matthew Calbraith Perry.jpg,American naval officer (1794–1858),"['military officer', 'botanist', 'malacologist']",[],41.4956589,-71.3135605
Willi Hennig,33952,4.170252768898572e-06,https://en.wikipedia.org/wiki/Willi_Hennig,1913,1976,https://commons.wikimedia.org/wiki/Special:FilePath/Willi Hennig2.jpg,German biologist,"['biologist', 'entomologist', 'writer', 'zoologist', 'university teacher']",['dipterology'],48.52,9.055555556
David Starr Jordan,320979,4.166535677327025e-06,https://en.wikipedia.org/wiki/David_Starr_Jordan,1851,1931,https://commons.wikimedia.org/wiki/Special:FilePath/David Starr Jordan (1851-1931).jpg,American ichthyologist and educator (1851-1931),"['botanist', 'peace activist', 'zoologist', 'autobiographer', 'ichthyologist', 'eugenicist', 'pedagogue', 'writer', 'naturalist']",['ichthyology'],37.3983,-122.129
Jean Piaget,95274,4.16497885298546e-06,https://en.wikipedia.org/wiki/Jean_Piaget,1896,1980,https://commons.wikimedia.org/wiki/Special:FilePath/Jean Piaget in Ann Arbor (cropped).png,"Swiss psychologist, biologist, logician, philosopher and academic (1896–1980)","['psychologist', 'zoologist', 'logician', 'philosopher', 'university teacher', 'malacologist', 'biologist', 'pedagogue']","['psychology', 'developmental psychology', 'cognitive psychology', 'biology', 'logic', 'philosophy']",46.20194444,6.136388889
Heraclitus,13792,4.163750564438183e-06,https://en.wikipedia.org/wiki/Heraclitus,-535,-470,https://commons.wikimedia.org/wiki/Special:FilePath/Ca' Rezzonico - Eraclito 1705 - Giuseppe Torretti.jpg,Greek philosopher,"['philosopher', 'writer', 'physicist']",['philosophy'],37.939722,27.348611
Julian Assange,26033941,4.162006151576436e-06,https://en.wikipedia.org/wiki/Julian_Assange,1971,,https://commons.wikimedia.org/wiki/Special:FilePath/RUEDA DE PRENSA CONJUNTA ENTRE CANCILLER RICARDO PATIÑO Y JULIAN ASSANGE (cropped).jpg,"Australian editor, publisher, and activist (born 1971)","['Internet activist', 'hacker', 'programmer', 'computer scientist', 'television producer', 'television director', 'writer', 'journalist', 'presenter', 'businessperson', 'whistleblower', 'television presenter']",[],-19.26222222,146.8158333
Pope Pius VII,69246,4.161995899394353e-06,https://en.wikipedia.org/wiki/Pope_Pius_VII,1742,1823,https://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis David 018.jpg,"head of the Catholic Church, ruler of the Papal States from 1800 to 1823","['Catholic priest', 'Catholic bishop']",[],41.90222222222222,12.453416666666667
Stephen A. Douglas,22418929,4.161860517565493e-06,https://en.wikipedia.org/wiki/Stephen_A._Douglas,1813,1861,https://commons.wikimedia.org/wiki/Special:FilePath/Stephen A Douglas - headshot.jpg,American politician and lawyer (1813–1861),"['politician', 'judge', 'lawyer']",[],44.007874,-86.756451
Laozi,65119,4.1604317078447645e-06,https://en.wikipedia.org/wiki/Laozi,-604,-471,https://commons.wikimedia.org/wiki/Special:FilePath/Zhang Lu-Laozi Riding an Ox (cropped).jpg,"6th-century BC semi-legendary Chinese philosopher, founder of Taoism","['philosopher', 'archivist', 'writer', 'Taoist']","['philosophy', 'Chinese philosophy']",,
Pink (singer),215566,4.159136680627029e-06,https://en.wikipedia.org/wiki/Pink_(singer),1979,,https://commons.wikimedia.org/wiki/Special:FilePath/P!nk - V2017 Hylands Park Chelmsford - Saturday 19th August 2017 PinkVFest190817-35 (36356783410) (cropped 2).jpg,"American singer, songwriter and actress","['model', 'songwriter', 'dancer', 'record producer', 'spokesperson', 'singer-songwriter', 'recording artist', 'film actor', 'singer', 'lyricist', 'actor']","['singing', 'pop music', 'acting', 'popular music']",40.3128,-75.1289
Modest Mussorgsky,64710,4.158804017145439e-06,https://en.wikipedia.org/wiki/Modest_Mussorgsky,1835,1881,https://commons.wikimedia.org/wiki/Special:FilePath/Modest Musorgskiy 1876 (cropped).jpg,Russian composer (1839–1881),"['composer', 'pianist', 'librettist', 'military personnel']",[],59.92277778,30.38611111
Max Born,61866,4.154760230813104e-06,https://en.wikipedia.org/wiki/Max_Born,1882,1970,https://commons.wikimedia.org/wiki/Special:FilePath/Max Born.jpg,German-Jewish physicist and mathematician (1882-1970),"['physicist', 'mathematician', 'academic', 'university teacher', 'non-fiction writer', 'theoretical physicist', 'scientist']","['theoretical physics', 'physics', 'quantum mechanics']",51.5325,9.90972
R. Kelly,55523,4.152481516466481e-06,https://en.wikipedia.org/wiki/R._Kelly,1967,,https://commons.wikimedia.org/wiki/Special:FilePath/R. Kelly mug shot.jpg,American R&B singer and sex offender,"['record producer', 'singer-songwriter', 'composer', 'actor', 'singer', 'film actor', 'basketball player', 'rapper', 'music video director']",[],41.85003,-87.65005
Eleanor of Aquitaine,9962,4.151239186188705e-06,https://en.wikipedia.org/wiki/Eleanor_of_Aquitaine,1122,1204,"https://commons.wikimedia.org/wiki/Special:FilePath/Queen Eleanor (Frederick Sandys, 1858).jpg",Queen consort of France; Queen consort of England; suo jure Duchess of Aquitaine; patroness,['female crusader'],['Occitan culture'],47.18138889,0.051666667
Erwin Rommel,9516,4.145755871318331e-06,https://en.wikipedia.org/wiki/Erwin_Rommel,1891,1944,"https://commons.wikimedia.org/wiki/Special:FilePath/Bundesarchiv Bild 183-J16362, Erwin Rommel.jpg",German field marshal,"['military officer', 'resistance fighter']",[],48.4211,9.8967
Jacob Hübner,1543928,4.145462480631023e-06,https://en.wikipedia.org/wiki/Jacob_Hübner,1761,1826,"https://commons.wikimedia.org/wiki/Special:FilePath/Jacob Hübner, Entomologe.jpg",German entomologist (1761–1826),"['biologist', 'lepidopterist', 'botanist', 'copper engraver', 'illustrator', 'naturalist']","['entomology', 'visual arts', 'natural science']",48.36888888888889,10.897777777777778
Alfred Nobel,851,4.142735563199263e-06,https://en.wikipedia.org/wiki/Alfred_Nobel,1833,1896,https://commons.wikimedia.org/wiki/Special:FilePath/AlfredNobel2.jpg,Swedish chemist and inventor (1833–1896),"['chemist', 'industrialist', 'philanthropist', 'photographer', 'weapons manufacturer', 'engineer']","['chemist', 'engineer', 'inventor']",59.35666667,18.01916667
LeBron James,240940,4.142462118301941e-06,https://en.wikipedia.org/wiki/LeBron_James,1984,,https://commons.wikimedia.org/wiki/Special:FilePath/LeBron James (51959977144) (cropped2).jpg,American basketball player (born 1984),"['basketball player', 'screenwriter', 'television actor']",['basketball'],41.07305556,-81.51777778
Johann Gottfried Herder,294037,4.142065368635502e-06,https://en.wikipedia.org/wiki/Johann_Gottfried_Herder,1744,1803,https://commons.wikimedia.org/wiki/Special:FilePath/Johann Gottfried Herder.jpg,"German philosopher, theologian, poet, and literary critic","['philosopher', 'theologian', 'poet', 'translator', 'writer', 'literary critic', 'literary scholar', 'opinion journalist', 'aesthetician']","['philosophy of mind', 'philosophy of language', 'political philosophy']",50.9811,11.3292
Mother Teresa,347105,4.141316918037373e-06,https://en.wikipedia.org/wiki/Mother_Teresa,1910,1997,https://commons.wikimedia.org/wiki/Special:FilePath/MotherTeresa 090.jpg,Albanian-Indian Catholic nun and missionary (1910–1997),['religious sister'],[],22.55306742374923,88.36366647913182
Titus,55251,4.141075971805338e-06,https://en.wikipedia.org/wiki/Titus,39,81,https://commons.wikimedia.org/wiki/Special:FilePath/Titus.jpg,emperor of Ancient Rome,"['politician', 'military personnel']",[],41.90611,12.47639
