article_name,page_id,pagerank_score,wikipedia link,birth,death,image_url,description,occupation,field,latitude,longitude
Carl Woese,40598,2.1780973269807665e-06,https://en.wikipedia.org/wiki/Carl_Woese,1928,2012,https://commons.wikimedia.org/wiki/Special:FilePath/Carl Woese.jpg,American microbiologist,"['microbiologist', 'biologist', 'university teacher']",['microbiology'],40.10972222,-88.20416667
Pauline Kael,313107,2.1779869750303653e-06,https://en.wikipedia.org/wiki/Pauline_Kael,1919,2001,https://commons.wikimedia.org/wiki/Special:FilePath/Pauline Kael (1968).jpg,American film critic (1919-2001),"['film critic', 'writer', 'journalist']",[],42.1958,-73.3625
Salman of Saudi Arabia,2049120,2.1774958316769844e-06,https://en.wikipedia.org/wiki/Salman_of_Saudi_Arabia,1935,,https://commons.wikimedia.org/wiki/Special:FilePath/Salman of Saudi Arabia - 2020 (49563590728) (cropped).jpg,King of Saudi Arabia since 2015,"['politician', 'monarch']",['statesperson'],24.65,46.71
Tecumseh,200966,2.177456042050664e-06,https://en.wikipedia.org/wiki/Tecumseh,1768,1813,https://commons.wikimedia.org/wiki/Special:FilePath/Tecumseh02.jpg,Native American Shawnee leader (1768-1813),['tribal chief'],[],42.5677,-81.8816
Hakeem Olajuwon,256369,2.177340359039471e-06,https://en.wikipedia.org/wiki/Hakeem_Olajuwon,1963,,"https://commons.wikimedia.org/wiki/Special:FilePath/Nigerian President Buhari Stands With Secretary Kerry, U.S. Delegation After They Attended His Inauguration Ceremony (cropped).jpg",Nigerian-American basketball player,['basketball player'],[],6.45,3.4
Peter of Castile,151358,2.177134227870867e-06,https://en.wikipedia.org/wiki/Peter_of_Castile,1334,1369,https://commons.wikimedia.org/wiki/Special:FilePath/Estatua de Pedro I el Cruel (M.A.N.) 01.jpg,king of Castile and León from 1350 to 1369,"['composer', 'ruler']",[],37.385833,-5.992417
Elon Musk,909036,2.176845661839816e-06,https://en.wikipedia.org/wiki/Elon_Musk,1971,,https://commons.wikimedia.org/wiki/Special:FilePath/Elon Musk Royal Society (crop2).jpg,Canadian–American businessman (born 1971 in Pretoria),"['programmer', 'engineer', 'entrepreneur', 'investor', 'businessperson']","['tech entrepreneurship', 'business']",-25.74638889,28.18805556
C. P. Scott,409593,2.1765959408577603e-06,https://en.wikipedia.org/wiki/C._P._Scott,1846,1932,https://commons.wikimedia.org/wiki/Special:FilePath/Charles Prestwich Scott in 1919.jpg,"British journalist, publisher and politician (1846-1932)","['journalist', 'politician', 'publisher']","['journalism', 'politics']",51.381389,-2.358611
Carl Perkins,98513,2.176412839272798e-06,https://en.wikipedia.org/wiki/Carl_Perkins,1932,1998,https://commons.wikimedia.org/wiki/Special:FilePath/Carl Perkins 1977.jpg,American guitarist,"['singer', 'singer-songwriter', 'guitarist', 'composer', 'recording artist']",[],35.614444444444445,-88.81775
Michael Bublé,621503,2.1761453356323745e-06,https://en.wikipedia.org/wiki/Michael_Bublé,1975,,https://commons.wikimedia.org/wiki/Special:FilePath/Michael Bublé.jpg,"Canadian singer, songwriter and actor","['singer', 'actor', 'composer', 'jazz musician', 'beekeeper', 'songwriter', 'film actor', 'television actor', 'record producer']",[],49.25,-122.949167
Eugène Ionesco,72590,2.1755396299604755e-06,https://en.wikipedia.org/wiki/Eugène_Ionesco,1909,1994,https://commons.wikimedia.org/wiki/Special:FilePath/Eugene Ionesco 03.jpg,Romanian-French playwright (1909–1994),"['playwright', 'poet', 'literary critic', 'diarist', 'illustrator', 'graphic artist']","['performing arts', 'literary activity', 'drama', 'poetry']",48.83778,2.32833
Eduard Shevardnadze,353288,2.1750800575267644e-06,https://en.wikipedia.org/wiki/Eduard_Shevardnadze,1928,2014,https://commons.wikimedia.org/wiki/Special:FilePath/Eduard shevardnadze.jpg,Georgian politician and diplomat (1928–2014),"['politician', 'diplomat']",[],41.7225,44.7925
Mark Rutte,4321056,2.1748184168994675e-06,https://en.wikipedia.org/wiki/Mark_Rutte,1967,,"https://commons.wikimedia.org/wiki/Special:FilePath/Mark Rutte, 23.03.23 (cropped).jpg",Prime Minister of the Netherlands from 2010 to 2024,"['politician', 'historian', 'teacher']",[],52.08,4.31
Germanicus,12478,2.1747581223183377e-06,https://en.wikipedia.org/wiki/Germanicus,-15,19,https://commons.wikimedia.org/wiki/Special:FilePath/(Toulouse) Portrait de Germanicus - Musée Saint-Raymond Ra 342 c.jpg,"nephew and adopted son of emperor Tiberius, heir of the Roman Empire","['politician', 'military personnel', 'writer', 'poet']",[],41.90611,12.47639
Shapur II,140702,2.174623558569813e-06,https://en.wikipedia.org/wiki/Shapur_II,309,379,https://commons.wikimedia.org/wiki/Special:FilePath/Head of king Met 65.126.jpg,The tenth Sasanian emperor (309–379),['sovereign'],[],29.777778,51.570833
Todd Rundgren,36791,2.174520265333216e-06,https://en.wikipedia.org/wiki/Todd_Rundgren,1948,,https://commons.wikimedia.org/wiki/Special:FilePath/ToddRundgren.png,"American musician, songwriter, and record producer","['singer', 'radio personality', 'singer-songwriter', 'guitarist', 'composer', 'record producer', 'pianist', 'poet', 'manufacturer']",[],39.95833333,-75.30805556
Pope Damasus I,23851,2.173888978871632e-06,https://en.wikipedia.org/wiki/Pope_Damasus_I,305,384,https://commons.wikimedia.org/wiki/Special:FilePath/Pope Damasus.jpg,pope,"['Catholic priest', 'writer', 'poet']",[],41.89305556,12.48277778
Andrew Sullivan,177335,2.173768338525376e-06,https://en.wikipedia.org/wiki/Andrew_Sullivan,1963,,https://commons.wikimedia.org/wiki/Special:FilePath/Andrew Sullivan cropped.jpg,"English-American journalist, writer, blogger","['writer', 'editor-in-chief', 'blogger', 'editor', 'pundit', 'journalist']",[],51.2479,-0.0644
Miguel López de Legazpi,160275,2.1733449829685364e-06,https://en.wikipedia.org/wiki/Miguel_López_de_Legazpi,1502,1572,"https://commons.wikimedia.org/wiki/Special:FilePath/Miguel López de Legazpi, en La Hormiga de Oro.jpg","16th-century Spanish conquistador, navigator, and colonial governor","['explorer', 'military personnel', 'politician', 'conquistador']",[],14.58886,120.97535
Ötzi,22742,2.171493567259302e-06,https://en.wikipedia.org/wiki/Ötzi,-3275,-3230,https://commons.wikimedia.org/wiki/Special:FilePath/Otzi-Quinson.jpg,well-preserved natural prehistoric mummy,['shepherd'],[],46.499861,11.349528
Protagoras,24086,2.170684325320585e-06,https://en.wikipedia.org/wiki/Protagoras,-490,-420,https://commons.wikimedia.org/wiki/Special:FilePath/Salvator Rosa - Démocrite et Protagoras.jpg,Pre-Socratic Greek philosopher (c.490–c.420 BC),['philosopher'],['philosophy'],38,19
Matsuo Bashō,90625,2.1695007666443555e-06,https://en.wikipedia.org/wiki/Matsuo_Bashō,1644,1694,https://commons.wikimedia.org/wiki/Special:FilePath/Basho by Buson.jpg,Japanese poet,"['poet', 'writer']",[],35.00291667,135.8801944
Manuel Neuer,9449341,2.169178470306849e-06,https://en.wikipedia.org/wiki/Manuel_Neuer,1986,,https://commons.wikimedia.org/wiki/Special:FilePath/20180602 FIFA Friendly Match Austria vs. Germany Manuel Neuer 850 0723.jpg,German association football player,['association football player'],['association football'],51.51666667,7.1
