page_id_from,page_id_to
1177,57985
1177,280998
1177,317349
1177,102096
1177,8457942
1177,17862
1177,22614
1177,22588
1177,85406
1177,20502020
1177,23791
1177,19230848
1177,66655
1177,25452
1177,55490
1177,696413
1177,26104
1177,623262
1177,33187
1208,736
1208,49731
1208,4528889
1208,2275990
1208,4163
1208,419342
1208,258221
1208,8302
1208,168017
1208,834007
1208,12153654
1208,12810
1208,46755
1208,13076
1208,2010784
1208,15950
1208,15942
1208,249897
1208,16810
1208,16736
1208,17741
1208,21443
1208,22614
1208,1718776
1208,21222213
1208,63401
1208,19376148
1208,52469
1208,179426
1208,7412236
1208,32917
1208,33870
1208,46525
1208,33119
1208,33265
1235,5981
1235,287314
1235,15912
1235,993636
1235,47923
1239,1750111
1239,1828
1239,249552
1239,442949
1239,447030
1239,481604
1239,187726
1239,50693
1239,84099
1239,84554
1239,352699
1247,869926
1247,5884
1247,164120
1247,161229
1247,742752
1247,158889
1247,1880951
1247,42621
1247,16027
1247,243685
1247,61479
1247,43855
1247,20913302
1247,25530
1247,29455
1247,27337
1247,447881
1247,43568
1256,43413
1256,367368
1256,49907
1256,159964
1256,44324
1256,7236
1256,8592
1256,10310
1256,660350
1256,13621
1256,592202
1256,144110
1256,20155
1256,21632
1256,23927371
1256,416255
1256,49407
1256,23979
1256,30536
1256,32570
1273,1557
1273,783
1273,447030
1273,72581
1273,75097
1273,6852
1273,159964
1273,312698
1273,6046
1273,60827
1273,77610
1273,19813
1273,12478
1273,67761
1273,13693
1273,469851
1273,15614
1273,15924
1273,28765
1273,74775
1273,18049
1273,44839
1273,25662201
1273,46996
1273,19747
1273,19960
1273,76958
1273,74773
1273,21632
1273,23927371
1273,22413
1273,24517
1273,23867
1273,237754
1273,242216
1273,97092
1273,37323
1273,19594563
1273,85762
1273,31131
1273,69418
1273,30536
1273,32359
1363,1923
1363,211439
1363,46784
1363,8199
1363,44669
1363,165723
1363,7575091
1363,16142
1363,15941
1363,51182
1363,17902
1363,69880
1363,23805
1370,294462
1370,2030
1370,175143
1370,6046
1370,6747
1370,6746
1370,646434
1370,74655
1370,87384
1370,11023
1370,16005
1370,16329
1370,49040
1370,22702
1370,210191
1370,23851
1370,31131
1370,74658
1389,87844
1389,210162
1408,4041
1408,5314
1408,8958
1408,9674
1408,17972
1408,683585
1408,70537
1408,32359
1408,198713
1425,2363
1425,153560
1425,5790
1425,151094
1425,44203
1425,312443
1425,12775
1425,214051
1425,9906294
1425,16094
1425,214006
1425,24019
1449,8081
1449,95274
1449,261226
1449,95176
1449,19548
1494,7575129
1494,70631
1494,59209
1494,443026
1494,18949289
1494,8145410
1494,7472
1494,78468
1494,400531
1494,9299
1494,396028
1494,162282
1494,154331
1494,143013
1494,163551
1494,248859
1494,404504
1494,145704
1494,15626
1494,15823
1494,364723
1494,331689
1494,592331
1494,21811584
1494,25446
1494,323481
1494,30795
1494,31468
1494,1903368
1494,27648
1494,33832
1509,40440
1509,70712
1509,162625
1509,40647174
1509,20596
1509,150695
1509,128422
1514,3235
1514,38447
1514,1175523
1514,39064
1514,70716
1514,1167367
1514,39363
1514,174710
1514,392979
1514,79884
1514,7567080
1514,39070
1514,39209
1514,23831
1514,38889
1514,39824
1514,42583
1529,1529
1529,2425
1529,104944
1529,183081
1529,208592
1529,9679
1529,32375
1550,61322
1550,99425
1550,82489
1550,416255
1550,24517
1550,34155
1557,1273
1557,43115
1557,6852
1557,159964
1557,6140
1557,12576
1557,12478
1557,74775
1557,19747
1557,19960
1557,74773
1557,21632
1557,4278138
1557,22481
1557,44920
1557,161420
1557,75150
1557,37323
1557,19594563
1557,30536
1560,2425
1560,4551
1560,47096
1560,18934
1560,852292
1560,23386500
1570,2180
1570,223318
1570,144752
1570,10310
1570,16239
1570,80475
1570,31131
1573,175040
1573,308
1573,47836
1573,1130
1573,6046
1573,8169
1573,16555
1573,19445
1573,27885687
1573,20595185
1573,282522
1573,152487
1573,600883
1573,38422
1573,23787
1573,39660
1573,24229
1573,147858
1573,24286
1573,24797
1573,27069
1573,21490957
1576,1661
1576,18836110
1576,19914843
1576,11431
1576,544668
1576,147145
1576,77382
1576,144835
1576,18934
1576,37870
1576,23979
1576,9685209
1589,2598206
1589,38447
1589,1175523
1589,39064
1589,38895
1589,148191
1589,24755
1589,38889
1589,42583
1592,41988252
1592,27126603
1592,49861
1592,2011934
1592,48918
1592,2447
1592,2690092
1592,15400506
1592,1466748
1592,150916
1592,220401
1592,213668
1592,46823
1592,658556
1592,18622119
1592,1794780
1592,398946
1592,2779825
1592,1444362
1592,20540
1592,993154
1592,30172853
1592,46641
1592,22416
1592,148206
1592,46247
1592,11015252
1594,1596
1594,147976
1594,46591
1594,14179
1594,49300
1594,79596
1594,20892
1594,142738
1594,194380
1594,33915
1596,1594
1596,350586
1596,147976
1596,46373
1596,228551
1596,46591
1596,14179
1596,50961
1596,147615
1596,26582
1596,33915
1599,1256
1599,308
1599,49907
1599,7383
1599,12326
1599,2673476
1599,19445
1599,28413
1599,80442
1600,1256
1600,841099
1600,367368
1600,159964
1600,14227
1600,140714
1600,840542
1600,1095706
1600,140742
1600,28030743
1600,22702
1600,204659
1613,157653
1613,157674
1613,157639
1613,27485413
1613,74206
1613,44833
1613,157902
1616,1613
1616,27485318
1616,73527
1616,44833
1616,72337
1616,26983
1616,276566
1616,74219
1616,1395165
1623,57454
1623,274102
1623,27126603
1623,164153
1623,1624
1623,46165
1623,51613
1623,4848272
1623,89117
1623,11968
1623,37243
1623,3418303
1623,47620
1623,171486
1623,88493
1623,15980
1623,15950
1623,15978
1623,397987
1623,45969
1623,10410626
1623,724148
1623,52110
1623,21825423
1623,15654
1623,19732690
1623,261824
1623,67022
1623,77352
1623,19763
1623,69880
1623,514693
1623,26284
1623,89110
1623,21833588
1623,60024
1623,200966
1623,271656
1623,29922
1623,32917
1623,33726
1623,297271
1623,380656
1623,33299
1624,307
1624,1623
1624,273845
1624,375066
1624,1297053
1624,19729467
1624,11968
1624,13976
1624,47620
1624,89160
1624,2477454
1624,19732383
1624,16208
1624,15980
1624,16134
1624,724148
1624,77323
1624,89141
1624,697588
1624,40332979
1624,15919
1624,264458
1624,261824
1624,19763
1624,19729548
1624,49597
1624,213144
1624,188978
1624,375081
1624,365602
1624,30775
1624,31752
1624,33299
1624,81455
1624,33521
1624,46720
1624,33523
1624,19729624
1625,481716
1625,23278520
1625,2807050
1625,8629
1625,10518
1625,5030380
1625,82384
1625,15641
1625,17272
1625,23860776
1625,155166
1625,42558
1625,1071397
1625,25433
1625,11015252
1625,32817
1625,49260
1625,50122
1640,9941
1640,48918
1640,2030
1640,4041
